license_id,brand_name,ingredient,drugbank_id,disease_name,disease_id,source,is_new
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,exanthem (disease),,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,acute lymphoblastic/lymphocytic leukemia,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,Crohn disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,eye disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,granulomatous slack skin disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,Crohn's colitis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,granuloma annulare,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,juvenile arthritis due to defect in LACC1,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,occupational dermatitis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,musculoskeletal system disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,B-cell neoplasm,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,seborrheic keratosis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,lichen disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,Trichinella spiralis infectious disease,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,pneumonitis,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,brain edema,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,serum sickness,,TxGNN Knowledge Graph,
MAL19990587AZ,MEDIXON TABLET,METHYLPREDNISOLONE,DB00959,familial glucocorticoid deficiency,,TxGNN Knowledge Graph,
